#OTUID	taxonomy	USEARCH	SINTAX	UTAX
ASV12330	SS|1.0000|FJ478126|SH1216964.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Irpicaceae,g:Flavodon,s:Flavodon flavus	k:Fungi,p:Basidiomycota,c:Agaricomycetes	No hit
ASV12333	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12335	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12336	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12339	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12340	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12341	GS|98.8|KF752642|SH1290674.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae,g:Monosporascus	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae,g:Monosporascus	No hit
ASV12342	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12343	SS|1.0000|JF412010|SH1202582.09FU;k:Fungi,p:Calcarisporiellomycota,c:Calcarisporiellomycetes,o:Calcarisporiellales,f:Calcarisporiellaceae,g:Calcarisporiella	k:Fungi,p:Calcarisporiellomycota,c:Calcarisporiellomycetes,o:Calcarisporiellales,f:Calcarisporiellaceae,g:Calcarisporiella,s:Calcarisporiella thermophila	k:Fungi,p:Calcarisporiellomycota,c:Calcarisporiellomycetes,o:Calcarisporiellales,f:Calcarisporiellaceae,g:Calcarisporiella	No hit
ASV12344	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12345	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12346	GS|100.0|UDB03568646|SH1085240.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	No hit
ASV12347	GS|100.0|UDB01319450|SH0961039.09FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora	No hit
ASV12350	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12351	GS|100.0|GQ267488|SH1212968.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Suillaceae,g:Suillus,s:Suillus quiescens	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Suillaceae,g:Suillus,s:Suillus quiescens	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Suillaceae,g:Suillus,s:Suillus quiescens	No hit
ASV12352	GS|72.0|JX043210|SH1089046.09FU;k:Amoebozoa	k:Amoebozoa	No hit	No hit
ASV12353	GS|100.0|UDB04401274|SH0943919.09FU;k:Fungi,p:Ascomycota,c:Arthoniomycetes,o:Lichenostigmatales,f:Phaeococcomycetaceae,g:Phaeococcomyces	k:Fungi,p:Ascomycota,c:Arthoniomycetes,o:Lichenostigmatales,f:Phaeococcomycetaceae,g:Phaeococcomyces	k:Fungi,p:Ascomycota,c:Arthoniomycetes,o:Lichenostigmatales,f:Phaeococcomycetaceae,g:Phaeococcomyces	No hit
ASV12354	GSL|100.0|JQ665424|SH1223425.09FU;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium	k:Fungi,p:Basidiomycota	k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium	No hit
ASV12356	SS|1.0000|UDB01530041|SH1110334.09FU;k:Fungi	k:Fungi,p:Blastocladiomycota	k:Fungi	No hit
